Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Canonical smiles,MinAbsEStateIndex,qed,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MRHI,BalabanJ,Chi3n,Ipc,Kappa3,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA5,SMR_VSA6,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA4,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NOCount,NumAliphaticHeterocycles,NumAromaticRings,NumHDonors,MolLogP,fr_Ar_N,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_methoxy,fr_nitro,fr_para_hydroxylation,fr_unbrch_alkane
Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,Cc1occc1C(=O)Nc1ccccc1,0.1458796296296294,0.8112827471791438,0.4687987916998422,1.2,6.043454710157476,2.1481615627939488,2.135103351165121,4231.896471894303,2.070848839522495,5.760247418874442,0.0,0.0,5.907179729351506,0.0,0.0,0.0,0.0,5.687386274683562,11.826614487336052,6.923737199690624,5.316788604006331,5.687386274683562,0.0,0.0,6.923737199690624,5.907179729351506,11.323698910571435,5.687386274683562,12.990104268152232,30.33183534230805,5.316788604006331,5.062497637944066,1.349030612244898,0.4822973356009075,1.7637962962962963,0.0,3,0,2,1,2.840320000000001,0,0,1,1,0,0,0,0,0,0,1,0
citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),CC(C)=CCCC(C)=CC=O,0.8450897581254724,0.3437064624002451,0.2985656613427288,1.2727272727272727,5.653303402248735,3.6257596603687854,1.443820170964484,203.69506175903632,7.042355752945163,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.61285484492389,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,24.70090829905084,6.076020106833881,6.923737199690624,19.92349450621513,0.0,2.487410241874528,0.0,6.1436265432098764,0.0,1,0,0,0,2.878000000000001,0,4,0,0,0,0,0,0,0,0,0,0
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,1.3010547891996307,0.2915258276662409,0.0616289926791598,0.2727272727272727,6.215083513679111,2.0413785020816704,4.648218885556905,296139.60435824015,1.5232857363736618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.92913895846256,0.0,0.0,0.0,0.0,0.0,0,0,5,0,6.299400000000004,0,0,0,0,0,0,0,0,0,0,0,0
Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,c1ccsc1,1.7129629629629628,0.4489266460144336,0.152454341484825,1.0,7.073072952311211,3.1250000000000004,0.4253807916384657,22.88643538696057,0.4840651878678135,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934735,22.89285967785505,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1.7480999999999998,0,0,0,0,0,0,0,0,0,0,0,0
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,c1ccc2scnc2c1,1.0995370370370372,0.5397735725540235,0.2446656935595745,1.2222222222222223,7.1624774858650255,2.9546597902851044,1.2367185396979752,254.268989977729,0.7153528638653945,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,11.336785877934735,0.0,15.727159907702744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.516700717616262,11.336785877934735,23.70964047900221,11.05034558940882,1.2615740740740742,2.9652777777777777,0.0,0.0,0.0,1,0,2,0,2.2963,1,0,0,0,0,0,0,0,0,0,1,0
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,0.4143518518518523,0.5521362037971856,0.0842325547422037,0.5882352941176471,6.449855483934601,2.7742731827209743,2.2196417804652038,6034.532470416753,2.669225413029379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19480292461797,10.045266627482652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24006955210062,0.0,30.33183534230805,0.0,0.0,0.0,1.2044753086419762,0.0,0.0,0.0,0,0,2,0,6.620600000000001,0,0,0,0,0,0,5,0,0,0,0,0
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,0.0882733896027547,0.757169743555686,0.5079560321952997,1.15,5.396715522090722,1.7111998765070118,6.660103851837375,62569.18896407333,1.604791759224291,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103966387748303,57.47053937115639,0.0,0.0,5.749511833283905,6.4208216229260096,17.250802561719567,11.51895685714508,17.585323925606694,25.18037091493942,0.0,12.13273413692322,12.990104268152232,0.0,2.991817090262031,2.488895646993365,2.317353132611069,0.0,2,0,1,2,3.609200000000002,0,0,0,1,0,0,0,0,0,0,0,0
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0.0466820987654319,0.3426777863228231,0.3689612624728717,0.8421052631578947,6.653212334758453,1.8029074597936312,5.923293583236558,38778.56643764397,0.9859582678778774,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,22.2725054797238,32.71045309479027,0.0,0.0,0.0,4.736862953800049,23.671624184645573,24.04374486781939,21.90038479654998,6.4208216229260096,0.0,0.0,0.0,4.3464714033761656,0.0,0.7758024691358019,0.0,0.0,1,1,0,0,4.481400000000002,0,2,0,0,0,1,6,0,0,0,0,0
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,O=C1CCCN1,0.2037037037037041,0.4368355272348544,0.3560910622057698,1.6666666666666667,5.770998865163337,2.3673518510178746,0.9027842468579428,33.548875021634686,0.5057254621854761,0.0,0.0,5.907179729351506,0.0,0.0,0.0,0.0,0.0,12.965578028838586,0.0,12.84164324585202,6.544756405912575,0.0,0.0,4.794537184071822,0.0,5.907179729351506,0.0,19.386399651764595,0.0,0.0,5.316788604006331,0.0,0.0,0.2037037037037041,0.8877314814814814,0.0,2,1,0,1,-0.1036,0,0,1,0,0,0,0,0,0,0,0,0
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,Clc1ccc2ccccc2c1,0.7950925925925929,0.5564479696593142,0.0843210297194745,0.8181818181818182,6.308413552068719,2.828901215620696,1.711512048676643,487.8529731213885,1.218047188717435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022633313741326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022633313741326,0.0,30.33183534230805,12.13273413692322,0.0,0.0,0.0,0.0,0.0,0,0,2,0,3.4932000000000016,0,0,0,0,0,0,1,0,0,0,0,0
